filename,start_date,finish_date,start_time,end_time,start_coordinates,end_coordinates
activity_20213965951.gpx,2025-08-29,2025-08-29,7:48:22,10:55:36,"63.781808,-16.437106","63.713195,-16.690999"
activity_20218984943.gpx,2025-08-29,2025-08-29,18:25:57,20:59:32,"63.713272,-16.691970","63.663207,-16.867072"
activity_20243048081.gpx,2025-08-30,2025-08-30,8:12:26,11:18:43,"63.662869,-16.867235","63.614010,-17.046875"
activity_20246835248.gpx,2025-08-30,2025-08-30,18:03:32,20:36:49,"63.614534,-17.046881","63.570640,-17.188634"
activity_20246865519.gpx,2025-08-31,2025-08-31,8:34:18,10:55:43,"63.570288,-17.191320","63.535519,-17.287166"
activity_20246877837.gpx,2025-08-31,2025-08-31,11:05:38,12:01:39,"63.535673,-17.287155","63.523773,-17.316041"
activity_20246951268.gpx,2025-08-31,2025-08-31,18:22:44,21:03:23,"63.524117,-17.314873","63.477975,-17.457146"
activity_20246975998.gpx,2025-09-01,2025-09-01,12:00:10,13:57:59,"63.477924,-17.457782","63.452543,-17.541773"
activity_20249219981.gpx,2025-09-01,2025-09-01,14:27:18,15:48:28,"63.452717,-17.541503","63.434910,-17.591978"
activity_20267323394.gpx,2025-09-03,2025-09-03,11:52:28,13:05:08,"63.684818,-22.218066","63.697083,-22.270838"
activity_20268253550.gpx,2025-09-03,2025-09-03,13:13:54,14:43:15,"63.697200,-22.270423","63.713129,-22.339524"
activity_20274661914.gpx,2025-09-03,2025-09-03,15:14:04,16:18:28,"63.713132,-22.339071","63.724179,-22.399038"
activity_20274686451.gpx,2025-09-04,2025-09-04,2:25:46,5:26:33,"63.725743,-22.427718","63.781961,-22.675355"
activity_20284626654.gpx,2025-09-04,2025-09-05,13:05:05,0:49:40,"63.781249,-22.675045","63.846673,-22.750554"
activity_20284633788.gpx,2025-09-05,2025-09-05,1:20:17,3:40:39,"63.849960,-22.744705","63.923282,-22.780909"
activity_20289919887.gpx,2025-09-05,2025-09-05,12:52:49,15:44:28,"63.922980,-22.782156","64.034637,-22.778221"
activity_20294186925.gpx,2025-09-06,2025-09-06,1:21:05,3:12:44,"64.034256,-22.778947","64.097463,-22.697360"
activity_20294960278.gpx,2025-09-06,2025-09-06,5:59:14,6:42:42,"64.097660,-22.698348","64.092577,-22.690178"
